pair_id,folder_name,case_id,case_orig,file1,file2,label,plagiarism_level,source_dataset,comparison_type
pair_000857,c57a973e_fa484fdd,p08,problem-8,c57a973e.java,fa484fdd.java,1,contest_level,conplag,contest_submission_pair
pair_000806,44428e63_c850e422,p18,problem-18,44428e63.java,c850e422.java,0,none,conplag,contest_submission_pair
pair_001063,2ff0355e_83935617,p09,problem-9,2ff0355e.java,83935617.java,0,none,conplag,contest_submission_pair
pair_001031,0017d438_9852706b,p09,problem-9,0017d438.java,9852706b.java,1,contest_level,conplag,contest_submission_pair
pair_000899,bdfe8110_c57a973e,p08,problem-8,bdfe8110.java,c57a973e.java,1,contest_level,conplag,contest_submission_pair
pair_000378,c06_orig_L5v02,c06,case-06,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000314,c05_orig_L5v04,c05,case-05,original.java,compared.java,1,level_5,ir_plag,original_vs_l5
pair_000747,5647d16e_ea09d197,p03,problem-3,5647d16e.java,ea09d197.java,0,none,conplag,contest_submission_pair
pair_000415,c07_orig_L1v06,c07,case-07,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_001117,5af25bd7_77ec956f,p01,problem-1,5af25bd7.java,77ec956f.java,1,contest_level,conplag,contest_submission_pair
pair_000461,5756162d_808f7516,p06,problem-6,5756162d.java,808f7516.java,0,none,conplag,contest_submission_pair
pair_000197,c04_orig_np06,c04,case-04,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000100,c02_orig_L4v03,c02,case-02,original.java,compared.java,1,level_4,ir_plag,original_vs_l4
pair_000479,6bcc5afd_f6ca6fc8,p19,problem-19,6bcc5afd.java,f6ca6fc8.java,1,contest_level,conplag,contest_submission_pair
pair_000757,c1fef98f_fadc1365,p08,problem-8,c1fef98f.java,fadc1365.java,0,none,conplag,contest_submission_pair
pair_000848,0ea5a836_732c98a0,p15,problem-15,0ea5a836.java,732c98a0.java,0,none,conplag,contest_submission_pair
pair_000339,c06_orig_np11,c06,case-06,original.java,compared.java,0,none,ir_plag,original_vs_nonplagiarized
pair_000943,0e68e463_29cf2e70,p20,problem-20,0e68e463.java,29cf2e70.java,0,none,conplag,contest_submission_pair
pair_000725,28c2d81a_48c5f745,p08,problem-8,28c2d81a.java,48c5f745.java,1,contest_level,conplag,contest_submission_pair
pair_001132,1013b392_5a340556,p17,problem-17,1013b392.java,5a340556.java,1,contest_level,conplag,contest_submission_pair
pair_000850,3d06b643_f6ca6fc8,p19,problem-19,3d06b643.java,f6ca6fc8.java,1,contest_level,conplag,contest_submission_pair
pair_000021,c01_orig_L1v06,c01,case-01,original.java,compared.java,1,level_1,ir_plag,original_vs_l1
pair_000964,90d0ffd0_b21c7532,p10,problem-10,90d0ffd0.java,b21c7532.java,0,none,conplag,contest_submission_pair
pair_000996,086f0f90_4a570de6,p09,problem-9,086f0f90.java,4a570de6.java,0,none,conplag,contest_submission_pair
