folder,file1,file2,es_plagio,dataset,tfidf_normalized,ast_structure,method_signatures,sequence_normalized,combined_score
c57a973e_fa484fdd,c57a973e.java,fa484fdd.java,1,conplag,0.6264207614900177,0.75,0.5,0.14855875831485588,0.5665310802687346
44428e63_c850e422,44428e63.java,c850e422.java,0,conplag,0.0,0.574757281553398,1.0,0.21164021164021163,0.40417321621205116
2ff0355e_83935617,2ff0355e.java,83935617.java,0,conplag,0.6932212663326237,0.5220994475138122,0.5,0.1952562473528166,0.5285457145734844
0017d438_9852706b,0017d438.java,9852706b.java,1,conplag,0.7213446628242028,0.7841726618705036,1.0,0.30362694300518134,0.7332664720003993
bdfe8110_c57a973e,bdfe8110.java,c57a973e.java,1,conplag,0.7537958707028828,0.8710601719197708,1.0,0.5524553571428571,0.8080149098933689
c06_orig_L5v02,original.java,compared.java,1,ir_plag,0.5375404881382033,0.6833333333333333,0.5,0.37183098591549296,0.548913818735695
c05_orig_L5v04,original.java,compared.java,1,ir_plag,0.7293451458075245,0.6526315789473685,1.0,0.2789400278940028,0.6929012789009446
5647d16e_ea09d197,5647d16e.java,ea09d197.java,0,conplag,0.6735381856351857,0.4800796812749004,0.16666666666666666,0.2011073405965351,0.44326170377759866
c07_orig_L1v06,original.java,compared.java,1,ir_plag,1.0000000000000004,0.9824561403508771,1.0,0.9891304347826086,0.9931064073226545
5af25bd7_77ec956f,5af25bd7.java,77ec956f.java,1,conplag,0.0,0.9348534201954397,1.0,0.388541323674679,0.5387372246098338
5756162d_808f7516,5756162d.java,808f7516.java,0,conplag,0.0,0.5654923215898826,0.3333333333333333,0.1534292265999583,0.2593287471336252
c04_orig_np06,original.java,compared.java,0,ir_plag,0.7142461953414624,0.6197183098591549,1.0,0.390715667311412,0.6945090114239701
c02_orig_L4v03,original.java,compared.java,1,ir_plag,0.4579317999425887,0.6407766990291263,0.5,0.491005291005291,0.5261599333394376
6bcc5afd_f6ca6fc8,6bcc5afd.java,f6ca6fc8.java,1,conplag,0.766820257692646,0.948948948948949,1.0,0.6359048305695746,0.8484574994625469
c1fef98f_fadc1365,c1fef98f.java,fadc1365.java,0,conplag,0.6401192067515808,0.5594713656387665,0.5,0.19363891487371376,0.5209289692857403
0ea5a836_732c98a0,0ea5a836.java,732c98a0.java,0,conplag,0.0,0.5513513513513514,0.25,0.1716390423572744,0.24115126175899657
c06_orig_np11,original.java,compared.java,0,ir_plag,0.9702197422265285,0.954954954954955,1.0,0.9233226837060703,0.964561798821682
0e68e463_29cf2e70,0e68e463.java,29cf2e70.java,0,conplag,0.5263669055588924,0.7138810198300283,0.5,0.1797866937531742,0.525360726957597
28c2d81a_48c5f745,28c2d81a.java,48c5f745.java,1,conplag,0.6781532349354474,0.8176470588235294,1.0,0.30657894736842106,0.7286345919797286
1013b392_5a340556,1013b392.java,5a340556.java,1,conplag,0.9994597929122057,0.9965034965034965,1.0,0.9936157864190366,0.9978043444331763
3d06b643_f6ca6fc8,3d06b643.java,f6ca6fc8.java,1,conplag,0.0,0.7616580310880829,0.5,0.24680851063829787,0.3655186859221696
c01_orig_L1v06,original.java,compared.java,1,ir_plag,1.0000000000000004,1.0,1.0,1.0,1.0
90d0ffd0_b21c7532,90d0ffd0.java,b21c7532.java,0,conplag,0.0,0.44376590330788807,0.25,0.08629602278721384,0.1960741744104485
086f0f90_4a570de6,086f0f90.java,4a570de6.java,0,conplag,0.7432806969936029,0.5176470588235295,0.5,0.1812175554506843,0.5426249949124224
c48673a6_ebed1250,c48673a6.java,ebed1250.java,0,conplag,0.4243880519062798,0.51252408477842,0.25,0.08429690414024618,0.36493757922176084
c06_orig_np02,original.java,compared.java,0,ir_plag,0.9666703876279491,0.954954954954955,1.0,0.8019639934533551,0.945115721174272
c06_orig_L4v08,original.java,compared.java,1,ir_plag,0.8736244546548732,0.8034188034188035,0.5,0.6714905933429812,0.7475177891562937
a3e272af_d1cd194e,a3e272af.java,d1cd194e.java,0,conplag,0.7271123554412184,0.6123456790123457,0.5,0.2607594936708861,0.577306952158763
1469697d_69c86b61,1469697d.java,69c86b61.java,1,conplag,1.0000000000000004,1.0,1.0,1.0,1.0
c07_orig_np11,original.java,compared.java,0,ir_plag,0.9023388293016608,0.770949720670391,1.0,0.5868586858685868,0.8351323093369865
56a90e79_b505f95e,56a90e79.java,b505f95e.java,0,conplag,0.6774236824644335,0.5587044534412956,0.2,0.1702127659574468,0.47024153978855737
c03_orig_L6v03,original.java,compared.java,1,ir_plag,0.637228279812689,0.7252747252747253,0.5,0.46006825938566553,0.6096225544247086
6f037b1d_ef1117e3,6f037b1d.java,ef1117e3.java,0,conplag,0.0,0.7154989384288747,0.6,0.4536082474226804,0.40269091864206447
c06_orig_L1v02,original.java,compared.java,1,ir_plag,1.0000000000000002,1.0,1.0,0.9983948635634029,0.9997592295345106
16857116_f3d7ce08,16857116.java,f3d7ce08.java,1,conplag,0.9933328933468496,0.9289940828402367,1.0,0.9709418837675351,0.9720060200885987
0951d079_b2bae06a,0951d079.java,b2bae06a.java,0,conplag,0.7883099341523677,0.654627539503386,1.0,0.3293338849813819,0.7216968215515519
c07_orig_L6v02,original.java,compared.java,1,ir_plag,0.6450788150213723,0.625,1.0,0.26226870474658087,0.6526178909694674
c01_orig_np09,original.java,compared.java,0,ir_plag,0.7059468736585234,0.5128205128205128,1.0,0.572139303482587,0.686748455149025
c03_orig_L6v01,original.java,compared.java,1,ir_plag,0.5879358898103756,0.5714285714285714,0.5,0.3213156230234029,0.5254034763157133
12c1cc56_c06c758d,12c1cc56.java,c06c758d.java,1,conplag,1.0,1.0,1.0,1.0,0.9999999999999999
ae716b8f_f1a42a42,ae716b8f.java,f1a42a42.java,0,conplag,0.3365327488295355,0.5080213903743316,0.3333333333333333,0.11004653709280043,0.35336652643322364
c03_orig_np10,original.java,compared.java,0,ir_plag,0.9064650167318056,0.9545454545454546,1.0,0.8141459744168548,0.9257482883822966
1be078c4_bb0949b3,1be078c4.java,bb0949b3.java,0,conplag,0.0,0.7177033492822966,1.0,0.1633085896076352,0.4398072932258343
4e9c4bf9_f9e08a46,4e9c4bf9.java,f9e08a46.java,0,conplag,0.40355216462584076,0.6816901408450704,0.5,0.3563892145369285,0.4992086820531046
c07_orig_L1v08,original.java,compared.java,1,ir_plag,1.0000000000000004,0.9824561403508771,1.0,0.9891304347826086,0.9931064073226545
cc9230d3_ec558d69,cc9230d3.java,ec558d69.java,1,conplag,0.5192837020050282,0.5771144278606966,1.0,0.1965093729799612,0.584360030006963
c02_orig_L6v01,original.java,compared.java,1,ir_plag,0.4441224867162364,0.5142857142857142,0.3333333333333333,0.32976827094474154,0.4258604919447748
c02_orig_L5v02,original.java,compared.java,1,ir_plag,0.42355568742121225,0.5039370078740157,0.3333333333333333,0.34088848594741616,0.4172255325184081
99ccaa44_e7a997b5,99ccaa44.java,e7a997b5.java,0,conplag,0.4248819103440946,0.5205479452054794,0.5,0.24227886056971515,0.44121488126753416
29d865c3_5cfa2861,29d865c3.java,5cfa2861.java,0,conplag,0.3126704449200841,0.426056338028169,0.5,0.10725552050473186,0.3533398852061899
