folder,file1,file2,tfidf_similarity,ast_similarity,combined_similarity,length_ratio,complexity_ratio,es_plagio,dataset,tokenize_success,ast_success
c57a973e_fa484fdd,c57a973e.java,fa484fdd.java,0.382,0.7127,0.4316,0.9347,0.75,1,conplag,True,True
44428e63_c850e422,44428e63.java,c850e422.java,0.4771,0.8162,0.528,0.6466,1.0,0,conplag,True,True
2ff0355e_83935617,2ff0355e.java,83935617.java,0.4478,0.5591,0.4645,0.6274,0.5625,0,conplag,True,True
0017d438_9852706b,0017d438.java,9852706b.java,0.4633,0.9104,0.5303,0.8854,1.0,1,conplag,True,True
bdfe8110_c57a973e,bdfe8110.java,c57a973e.java,0.3879,0.8741,0.4608,0.9205,0.75,1,conplag,True,True
c06_orig_L5v02,original.java,compared.java,0.4917,0.8575,0.6014,0.8672,1.0,1,ir_plag,True,True
c05_orig_L5v04,original.java,compared.java,0.4549,0.9625,0.6072,0.9439,1.0,1,ir_plag,True,True
5647d16e_ea09d197,5647d16e.java,ea09d197.java,0.5902,0.7573,0.6153,0.8375,0.8421,0,conplag,True,True
c07_orig_L1v06,original.java,compared.java,1.0,0.9274,0.9782,0.9647,1.0,1,ir_plag,True,True
5af25bd7_77ec956f,5af25bd7.java,77ec956f.java,0.6153,0.9612,0.6672,0.9788,1.0,1,conplag,True,True
5756162d_808f7516,5756162d.java,808f7516.java,0.4469,0.7194,0.4878,1.0,0.8333,0,conplag,True,True
c04_orig_np06,original.java,compared.java,0.3142,0.8833,0.4849,0.8684,1.0,0,ir_plag,True,True
c02_orig_L4v03,original.java,compared.java,0.5405,0.6217,0.5648,0.8403,1.0,1,ir_plag,True,True
6bcc5afd_f6ca6fc8,6bcc5afd.java,f6ca6fc8.java,0.923,0.985,0.9323,0.9815,1.0,1,conplag,True,True
c1fef98f_fadc1365,c1fef98f.java,fadc1365.java,0.3291,0.509,0.3561,0.6023,0.5,0,conplag,True,True
0ea5a836_732c98a0,0ea5a836.java,732c98a0.java,0.4496,0.6427,0.4786,0.6803,0.9167,0,conplag,True,True
c06_orig_np11,original.java,compared.java,0.9312,1.0,0.9518,0.991,1.0,0,ir_plag,True,True
0e68e463_29cf2e70,0e68e463.java,29cf2e70.java,0.4272,0.7898,0.4816,0.7494,1.0,0,conplag,True,True
28c2d81a_48c5f745,28c2d81a.java,48c5f745.java,0.3077,0.7913,0.3802,0.7954,0.75,1,conplag,True,True
1013b392_5a340556,1013b392.java,5a340556.java,0.5662,1.0,0.6313,0.9978,1.0,1,conplag,True,True
3d06b643_f6ca6fc8,3d06b643.java,f6ca6fc8.java,0.4467,0.7858,0.4976,0.7333,0.8333,1,conplag,True,True
c01_orig_L1v06,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
90d0ffd0_b21c7532,90d0ffd0.java,b21c7532.java,0.3624,0.6105,0.3997,0.5821,0.625,0,conplag,True,True
086f0f90_4a570de6,086f0f90.java,4a570de6.java,0.5321,0.8883,0.5856,0.8237,1.0,0,conplag,True,True
c48673a6_ebed1250,c48673a6.java,ebed1250.java,0.3395,0.5552,0.3718,0.7028,0.5,0,conplag,True,True
c06_orig_np02,original.java,compared.java,0.9312,1.0,0.9518,0.991,1.0,0,ir_plag,True,True
c06_orig_L4v08,original.java,compared.java,0.7249,0.8875,0.7737,0.874,1.0,1,ir_plag,True,True
a3e272af_d1cd194e,a3e272af.java,d1cd194e.java,0.4572,0.6754,0.4899,0.9526,0.8571,0,conplag,True,True
1469697d_69c86b61,1469697d.java,69c86b61.java,1.0,1.0,1.0,1.0,1.0,1,conplag,True,True
c07_orig_np11,original.java,compared.java,0.6893,0.8608,0.7408,0.8962,0.75,0,ir_plag,True,True
56a90e79_b505f95e,56a90e79.java,b505f95e.java,0.5427,0.4715,0.5321,0.6648,0.7,0,conplag,True,True
c03_orig_L6v03,original.java,compared.java,0.455,0.7158,0.5333,0.8698,1.0,1,ir_plag,True,True
6f037b1d_ef1117e3,6f037b1d.java,ef1117e3.java,0.649,0.8074,0.6727,0.9687,0.7368,0,conplag,True,True
c06_orig_L1v02,original.java,compared.java,1.0,1.0,1.0,1.0,1.0,1,ir_plag,True,True
16857116_f3d7ce08,16857116.java,f3d7ce08.java,0.9717,0.9083,0.9622,0.9233,0.8333,1,conplag,True,True
0951d079_b2bae06a,0951d079.java,b2bae06a.java,0.451,0.7866,0.5013,0.9202,0.8889,0,conplag,True,True
